date,city,seasons,temperature_c,rainfall_mm
2022-10-02,Buttes-Chaumont,Autumn,16.6,2.4
2024-08-21,Popincourt,Summer,30.6,5.7
2024-11-23,Batignolles-Monceau,Autumn,15.9,2.1
2013-01-04,Entrepôt,Winter,6.8,0.1
2024-07-07,Passy,Summer,21.4,1.7
2022-08-17,Popincourt,Summer,25.7,2.6
2024-10-31,Buttes-Montmartre,Autumn,5.9,1.5
2024-11-23,Bourse,Autumn,7.7,5.6
2024-11-29,Temple,Autumn,12.2,0.4
2024-09-23,Hôtel-de-Ville,Autumn,11.4,2.2
2024-10-28,Passy,Autumn,11.9,5.6
2024-11-18,Buttes-Montmartre,Autumn,6.3,0.1
2024-09-29,Passy,Autumn,11.4,3.3
2023-08-20,Observatoire,Summer,26.8,0.1
2024-10-23,Vaugirard,Autumn,13.8,0.7
2024-10-22,Hôtel-de-Ville,Autumn,10.6,2.2
2024-11-30,Hôtel-de-Ville,Autumn,8.3,2.3
2023-07-06,Passy,Summer,34.8,3.5
2024-12-01,Luxembourg,Winter,3.1,2.3
2024-11-28,Batignolles-Monceau,Autumn,12.0,1.0
2024-10-23,Temple,Autumn,18.5,2.6
2023-07-31,Temple,Summer,22.5,1.6
2024-06-10,Ménilmontant,Summer,23.9,0.2
2024-11-03,Passy,Autumn,12.4,3.2
2024-12-06,Buttes-Montmartre,Winter,6.7,0.4
2024-11-22,Panthéon,Autumn,11.5,4.6
2024-11-30,Gobelins,Autumn,11.0,0.3
2023-07-25,Gobelins,Summer,27.7,0.6
2024-10-09,Popincourt,Autumn,19.2,1.0
2024-12-02,Opéra,Winter,6.2,1.6
2024-12-02,Hôtel-de-Ville,Winter,8.8,1.7
2024-11-24,Batignolles-Monceau,Autumn,14.5,5.0
2015-08-25,Hôtel-de-Ville,Summer,22.9,1.1
2020-03-19,Popincourt,Spring,9.6,0.2
2024-08-10,Vaugirard,Summer,23.5,1.3
2024-11-02,Gobelins,Autumn,12.1,0.1
2024-10-14,Vaugirard,Autumn,12.8,2.0
2024-10-16,Opéra,Autumn,-0.8,1.5
2024-10-02,Ménilmontant,Autumn,21.4,1.7
2024-10-20,Bourse,Autumn,10.4,1.3
2024-10-23,Hôtel-de-Ville,Autumn,15.8,0.3
2024-01-22,Palais-Bourbon,Winter,9.1,11.4
2024-10-15,Opéra,Autumn,19.2,2.1
2024-11-04,Vaugirard,Autumn,12.0,2.6
2022-06-30,Opéra,Summer,24.8,1.4
2024-11-03,Hôtel-de-Ville,Autumn,13.6,0.9
2024-08-08,Ménilmontant,Summer,25.3,5.3
2024-12-01,Reuilly,Winter,1.5,7.8
2024-08-10,Ménilmontant,Summer,19.1,1.6
2024-10-30,Popincourt,Autumn,6.9,2.4
2024-08-10,Buttes-Chaumont,Summer,19.3,0.7
2024-08-10,Hôtel-de-Ville,Summer,24.6,2.7
2024-10-30,Hôtel-de-Ville,Autumn,12.6,5.4
2024-08-08,Buttes-Montmartre,Summer,21.6,0.6
2024-10-29,Temple,Autumn,16.0,3.7
2024-06-09,Entrepôt,Summer,20.1,2.6
2024-08-11,Ménilmontant,Summer,30.5,1.9
2024-12-05,Observatoire,Winter,7.0,3.8
2024-12-03,Buttes-Chaumont,Winter,4.9,2.3
2024-09-22,Buttes-Montmartre,Autumn,10.7,1.9
2024-10-06,Buttes-Montmartre,Autumn,13.1,1.2
2016-10-18,Buttes-Chaumont,Autumn,10.8,0.8
2020-01-04,Buttes-Montmartre,Winter,0.5,4.8
2022-08-19,Popincourt,Summer,27.5,0.0
2024-10-28,Entrepôt,Autumn,16.6,2.4
2023-05-26,Luxembourg,Spring,17.9,4.8
2024-12-01,Buttes-Montmartre,Winter,5.5,3.2
2024-11-17,Hôtel-de-Ville,Autumn,13.1,2.0
2015-01-04,Buttes-Chaumont,Winter,1.1,6.8
2024-08-30,Ménilmontant,Summer,28.4,0.6
2016-09-03,Buttes-Montmartre,Autumn,12.1,1.9
2024-04-29,Palais-Bourbon,Spring,15.7,3.9
2024-08-06,Popincourt,Summer,17.1,3.4
2024-06-23,Panthéon,Summer,18.9,2.0
2024-08-10,Reuilly,Summer,24.4,3.8
2024-10-31,Ménilmontant,Autumn,20.4,4.2
2024-08-12,Entrepôt,Summer,21.4,0.1
2024-11-22,Popincourt,Autumn,10.0,1.4
2024-10-28,Popincourt,Autumn,8.0,1.2
2024-05-05,Reuilly,Spring,20.3,5.6
2024-12-02,Panthéon,Winter,2.2,1.1
2024-11-03,Bourse,Autumn,17.1,2.3
2016-06-04,Palais-Bourbon,Summer,28.3,0.9
2023-12-21,Passy,Winter,7.1,1.8
2023-09-10,Batignolles-Monceau,Autumn,15.4,0.3
2024-11-23,Louvre,Autumn,6.6,1.3
2024-11-25,Entrepôt,Autumn,5.9,4.4
2024-08-09,Ménilmontant,Summer,17.1,1.2
2024-10-20,Opéra,Autumn,17.3,1.3
2024-10-26,Hôtel-de-Ville,Autumn,1.5,0.4
2024-10-06,Luxembourg,Autumn,11.2,8.6
2024-08-28,Entrepôt,Summer,36.4,2.5
2024-10-27,Palais-Bourbon,Autumn,8.2,4.1
2024-08-15,Ménilmontant,Summer,27.1,2.0
2024-10-28,Opéra,Autumn,8.5,2.5
2024-10-17,Entrepôt,Autumn,7.7,0.2
2024-10-28,Batignolles-Monceau,Autumn,12.1,5.1
2024-08-07,Buttes-Chaumont,Summer,21.4,0.5
2024-10-08,Gobelins,Autumn,5.5,1.4
2024-10-09,Observatoire,Autumn,6.8,0.7
2024-09-11,Bourse,Autumn,12.2,0.4
2024-09-10,Buttes-Montmartre,Autumn,11.6,3.0
2024-10-30,Entrepôt,Autumn,10.9,1.9
2024-10-06,Gobelins,Autumn,12.5,6.0
2023-07-16,Buttes-Chaumont,Summer,25.7,0.8
2024-09-25,Buttes-Chaumont,Autumn,7.1,1.6
2024-08-08,Buttes-Chaumont,Summer,17.4,0.3
2024-08-05,Ménilmontant,Summer,32.0,2.6
2024-11-02,Panthéon,Autumn,13.4,3.9
2024-07-18,Hôtel-de-Ville,Summer,24.8,2.4
2024-08-11,Hôtel-de-Ville,Summer,18.5,3.8
2024-12-04,Panthéon,Winter,2.4,3.2
2024-10-25,Popincourt,Autumn,5.7,1.3
2024-11-04,Luxembourg,Autumn,17.9,4.3
2024-10-27,Ménilmontant,Autumn,15.8,2.9
2023-12-20,Hôtel-de-Ville,Winter,4.3,2.6
2017-08-01,Opéra,Summer,22.4,1.6
2024-10-01,Opéra,Autumn,19.0,3.7
2024-10-04,Passy,Autumn,5.2,1.9
2024-01-26,Buttes-Montmartre,Winter,0.6,7.4
2024-05-10,Popincourt,Spring,15.2,0.3
2018-08-11,Passy,Summer,26.4,0.0
2023-09-23,Observatoire,Autumn,9.5,3.7
2023-05-28,Buttes-Montmartre,Spring,19.5,3.0
2023-10-07,Popincourt,Autumn,16.0,3.3
2024-07-23,Reuilly,Summer,30.4,0.1
2024-08-08,Passy,Summer,24.6,0.3
2024-11-03,Popincourt,Autumn,26.6,0.2
2024-10-12,Observatoire,Autumn,10.6,1.0
2024-11-30,Observatoire,Autumn,14.3,2.0
2024-10-23,Popincourt,Autumn,14.1,0.7
2024-11-23,Temple,Autumn,11.5,3.7
2024-08-15,Batignolles-Monceau,Summer,24.2,3.3
2024-11-02,Panthéon,Autumn,11.2,1.2
2024-10-06,Reuilly,Autumn,4.4,1.6
2024-08-30,Popincourt,Summer,15.8,0.3
2024-08-31,Temple,Summer,12.7,0.2
2024-10-09,Buttes-Montmartre,Autumn,15.2,0.8
2024-12-03,Hôtel-de-Ville,Winter,9.2,13.7
2024-11-29,Vaugirard,Autumn,12.6,1.0
2024-04-09,Hôtel-de-Ville,Spring,11.5,0.5
2023-09-21,Buttes-Chaumont,Autumn,11.7,1.6
2024-09-14,Temple,Autumn,9.3,2.8
2024-08-05,Passy,Summer,22.8,3.0
2022-12-11,Reuilly,Winter,8.5,4.7
2024-11-25,Ménilmontant,Autumn,8.2,5.6
2024-11-12,Popincourt,Autumn,12.4,0.5
2023-10-30,Popincourt,Autumn,15.5,1.7
2024-10-14,Panthéon,Autumn,13.5,0.5
2024-03-27,Popincourt,Spring,13.2,0.2
2024-11-24,Passy,Autumn,8.2,0.0
2024-11-11,Batignolles-Monceau,Autumn,10.1,2.1
2023-10-08,Gobelins,Autumn,10.5,1.4
2024-10-30,Luxembourg,Autumn,18.0,0.8
2024-10-26,Ménilmontant,Autumn,6.2,5.2
2017-09-03,Palais-Bourbon,Autumn,14.9,4.3
2024-11-01,Temple,Autumn,11.6,6.1
2024-11-12,Temple,Autumn,10.1,6.6
2013-07-19,Buttes-Montmartre,Summer,25.0,2.7
2024-08-19,Opéra,Summer,30.0,3.5
2024-08-21,Opéra,Summer,29.2,3.5
2024-08-10,Ménilmontant,Summer,29.7,5.3
2019-12-30,Batignolles-Monceau,Winter,6.8,3.3
2024-10-11,Buttes-Montmartre,Autumn,11.9,3.7
2024-01-03,Popincourt,Winter,4.3,4.9
2024-10-10,Gobelins,Autumn,21.3,0.2
2024-11-17,Buttes-Montmartre,Autumn,16.9,0.8
2024-07-07,Luxembourg,Summer,25.9,0.4
2019-07-15,Luxembourg,Summer,23.3,0.4
2023-08-22,Ménilmontant,Summer,28.0,0.8
2023-02-04,Gobelins,Winter,3.3,2.0
2023-10-18,Batignolles-Monceau,Autumn,17.4,4.2
2024-11-20,Buttes-Chaumont,Autumn,14.4,0.4
2024-10-13,Vaugirard,Autumn,20.0,4.8
2019-06-27,Batignolles-Monceau,Summer,24.5,4.7
2024-10-20,Buttes-Montmartre,Autumn,3.0,1.0
2024-10-14,Popincourt,Autumn,15.6,9.6
2024-10-23,Buttes-Chaumont,Autumn,14.2,0.7
2024-12-04,Buttes-Chaumont,Winter,4.3,10.0
2019-05-03,Popincourt,Spring,18.8,0.7
2024-10-31,Popincourt,Autumn,12.8,2.1
2024-11-20,Panthéon,Autumn,8.4,5.5
2024-08-11,Opéra,Summer,27.0,4.3
2022-11-02,Opéra,Autumn,10.5,1.5
2023-08-28,Temple,Summer,22.5,0.1
2024-07-27,Vaugirard,Summer,30.1,1.4
2024-10-25,Entrepôt,Autumn,12.3,10.8
2023-08-25,Popincourt,Summer,22.9,5.0
2024-08-27,Popincourt,Summer,27.8,2.6
2024-10-18,Luxembourg,Autumn,17.3,0.2
2024-12-02,Bourse,Winter,3.8,0.2
2024-11-18,Hôtel-de-Ville,Autumn,13.6,6.3
2024-10-15,Vaugirard,Autumn,5.8,3.1
2018-01-30,Popincourt,Winter,6.9,0.8
2024-10-06,Entrepôt,Autumn,10.2,6.5
2024-11-11,Hôtel-de-Ville,Autumn,13.4,0.9
2024-10-01,Bourse,Autumn,15.5,1.2
2019-03-27,Buttes-Montmartre,Spring,10.1,10.5
2024-11-14,Vaugirard,Autumn,11.7,1.9
2019-11-04,Luxembourg,Autumn,11.1,0.5
2024-11-17,Temple,Autumn,10.5,5.0
2024-06-26,Entrepôt,Summer,21.3,1.7
2024-08-06,Batignolles-Monceau,Summer,25.0,0.8
2024-10-25,Opéra,Autumn,15.9,2.3
2024-09-27,Luxembourg,Autumn,10.5,2.7
2024-11-29,Entrepôt,Autumn,13.1,1.1
2024-09-30,Passy,Autumn,1.2,0.8
2024-11-27,Louvre,Autumn,10.6,5.1
2024-06-29,Temple,Summer,26.0,1.1
2024-12-01,Louvre,Winter,4.7,3.0
2024-08-07,Popincourt,Summer,25.9,0.1
2024-08-15,Popincourt,Summer,18.8,0.3
2024-11-17,Observatoire,Autumn,9.4,0.8
2024-06-02,Popincourt,Summer,24.8,4.6
2024-11-11,Buttes-Montmartre,Autumn,10.6,1.1
2024-10-03,Luxembourg,Autumn,16.7,5.5
2024-06-23,Ménilmontant,Summer,33.6,1.3
2024-09-10,Popincourt,Autumn,8.9,1.4
2024-10-20,Buttes-Montmartre,Autumn,9.6,0.1
2024-10-07,Palais-Bourbon,Autumn,15.2,0.3
2024-06-26,Popincourt,Summer,25.0,2.5
2024-10-20,Ménilmontant,Autumn,11.4,1.3
2017-10-05,Popincourt,Autumn,14.5,10.2
2024-09-07,Buttes-Montmartre,Autumn,7.8,2.5
2024-05-20,Louvre,Spring,27.6,3.7
2022-05-07,Hôtel-de-Ville,Spring,17.1,7.5
2024-11-29,Passy,Autumn,18.3,4.8
2023-09-12,Ménilmontant,Autumn,18.1,1.1
2024-07-05,Luxembourg,Summer,21.7,0.8
2024-11-19,Entrepôt,Autumn,7.7,0.5
2020-01-05,Popincourt,Winter,2.6,1.8
2024-09-12,Popincourt,Autumn,4.8,2.9
2024-11-11,Popincourt,Autumn,14.9,3.8
2012-09-09,Vaugirard,Autumn,9.1,3.3
2024-12-03,Temple,Winter,6.6,2.5
2024-05-03,Temple,Spring,12.3,1.1
2024-11-04,Temple,Autumn,6.0,1.4
2023-10-10,Vaugirard,Autumn,21.3,1.3
2024-12-04,Temple,Winter,2.6,0.8
2024-10-23,Popincourt,Autumn,10.6,2.5
2024-08-05,Popincourt,Summer,24.9,1.7
2019-06-27,Vaugirard,Summer,32.0,0.8
2024-04-01,Popincourt,Spring,12.7,1.4
2024-11-24,Buttes-Montmartre,Autumn,7.6,2.9
2024-09-30,Reuilly,Autumn,8.4,0.7
2023-09-30,Buttes-Montmartre,Autumn,9.8,3.0
2024-09-16,Popincourt,Autumn,11.0,7.3
2019-09-18,Entrepôt,Autumn,12.2,0.5
2024-11-10,Popincourt,Autumn,14.1,0.6
2024-10-21,Buttes-Chaumont,Autumn,15.5,5.1
2024-10-18,Popincourt,Autumn,14.6,1.0
2024-10-28,Popincourt,Autumn,9.9,5.3
2024-12-08,Luxembourg,Winter,5.9,0.3
2024-09-01,Passy,Autumn,14.0,1.8
2023-09-30,Luxembourg,Autumn,11.8,1.2
2024-11-28,Passy,Autumn,9.5,2.4
2024-08-12,Reuilly,Summer,25.7,1.3
2024-10-20,Popincourt,Autumn,11.6,0.8
2024-10-30,Ménilmontant,Autumn,16.6,3.4
2024-08-08,Bourse,Summer,22.8,4.1
