event_id,event_name,neighbourhood,start_date,end_date
74,Conférence,Hôtel-de-Ville,2023-03-31,2023-04-01
75,Salon,Panthéon,2023-10-03,2023-10-06
76,Concert,Buttes-Montmartre,2023-01-02,2023-01-03
77,Conférence,Élysée,2023-11-16,2023-11-18
78,Festival,Reuilly,2023-10-13,2023-10-14
79,Conférence,Palais-Bourbon,2023-05-30,2023-06-02
80,Conférence,Buttes-Chaumont,2023-09-09,2023-09-11
81,Compétition Sportive,Batignolles-Monceau,2023-04-16,2023-04-19
82,Salon,Passy,2023-10-17,2023-10-19
83,Compétition Sportive,Reuilly,2023-05-05,2023-05-08
84,Compétition Sportive,Ménilmontant,2023-06-12,2023-06-13
85,Salon,Passy,2023-07-16,2023-07-19
86,Compétition Sportive,Buttes-Montmartre,2023-11-09,2023-11-10
87,Conférence,Temple,2023-01-15,2023-01-18
88,Concert,Palais-Bourbon,2023-10-22,2023-10-25
89,Festival,Palais-Bourbon,2023-01-28,2023-01-31
90,Festival,Ménilmontant,2023-01-12,2023-01-15
91,Compétition Sportive,Gobelins,2023-07-14,2023-07-18
92,Salon,Opéra,2023-09-23,2023-09-26
93,Conférence,Passy,2023-12-22,2023-12-26
94,Compétition Sportive,Bourse,2023-09-20,2023-09-22
95,Conférence,Louvre,2023-06-20,2023-06-21
96,Conférence,Palais-Bourbon,2023-12-03,2023-12-04
97,Festival,Hôtel-de-Ville,2023-10-03,2023-10-07
98,Concert,Bourse,2023-10-30,2023-11-01
99,Concert,Batignolles-Monceau,2023-08-29,2023-09-01
100,Salon,Luxembourg,2023-09-02,2023-09-03
101,Concert,Hôtel-de-Ville,2023-01-28,2023-02-01
102,Compétition Sportive,Ménilmontant,2023-07-23,2023-07-25
103,Festival,Passy,2023-10-01,2023-10-03
104,Festival,Buttes-Montmartre,2023-11-09,2023-11-13
105,Conférence,Gobelins,2023-12-31,2024-01-02
106,Compétition Sportive,Observatoire,2023-02-06,2023-02-07
107,Compétition Sportive,Louvre,2023-09-11,2023-09-15
108,Conférence,Luxembourg,2023-12-26,2023-12-30
109,Conférence,Bourse,2023-04-15,2023-04-17
110,Festival,Louvre,2023-08-31,2023-09-04
111,Compétition Sportive,Hôtel-de-Ville,2023-04-10,2023-04-14
112,Concert,Élysée,2023-09-04,2023-09-06
113,Concert,Panthéon,2023-02-13,2023-02-17
114,Festival,Hôtel-de-Ville,2023-03-06,2023-03-07
115,Concert,Élysée,2023-06-27,2023-07-01
116,Concert,Buttes-Chaumont,2023-05-27,2023-05-29
117,Compétition Sportive,Opéra,2023-02-18,2023-02-22
118,Compétition Sportive,Popincourt,2023-03-08,2023-03-09
119,Salon,Popincourt,2023-12-13,2023-12-16
120,Compétition Sportive,Buttes-Montmartre,2023-02-15,2023-02-16
121,Salon,Gobelins,2023-03-11,2023-03-15
122,Compétition Sportive,Buttes-Montmartre,2023-12-13,2023-12-14
123,Conférence,Entrepôt,2023-04-19,2023-04-22
124,Compétition Sportive,Observatoire,2023-12-27,2023-12-29
125,Salon,Batignolles-Monceau,2023-07-28,2023-07-30
126,Concert,Gobelins,2023-10-30,2023-11-01
127,Compétition Sportive,Ménilmontant,2023-07-26,2023-07-27
128,Concert,Bourse,2023-03-24,2023-03-27
129,Concert,Gobelins,2023-10-13,2023-10-16
130,Compétition Sportive,Reuilly,2023-12-26,2023-12-28
131,Compétition Sportive,Popincourt,2023-05-03,2023-05-05
132,Conférence,Popincourt,2023-08-26,2023-08-28
133,Salon,Popincourt,2023-12-12,2023-12-16
134,Compétition Sportive,Popincourt,2023-12-23,2023-12-27
135,Concert,Vaugirard,2023-03-02,2023-03-05
136,Concert,Passy,2023-06-12,2023-06-14
137,Compétition Sportive,Gobelins,2023-08-22,2023-08-25
138,Salon,Bourse,2023-03-07,2023-03-08
139,Concert,Buttes-Chaumont,2023-01-13,2023-01-17
140,Conférence,Observatoire,2023-03-01,2023-03-03
141,Concert,Opéra,2023-04-17,2023-04-18
142,Salon,Buttes-Montmartre,2023-12-29,2024-01-01
143,Festival,Batignolles-Monceau,2023-09-22,2023-09-23
144,Conférence,Buttes-Montmartre,2023-04-18,2023-04-22
145,Conférence,Palais-Bourbon,2023-11-17,2023-11-18
146,Festival,Observatoire,2023-06-26,2023-06-28
147,Conférence,Reuilly,2023-11-21,2023-11-23
148,Conférence,Ménilmontant,2023-09-25,2023-09-29
149,Conférence,Vaugirard,2023-08-23,2023-08-26
150,Concert,Élysée,2023-11-13,2023-11-16
151,Concert,Hôtel-de-Ville,2023-04-22,2023-04-25
152,Compétition Sportive,Passy,2023-10-22,2023-10-25
153,Compétition Sportive,Ménilmontant,2023-08-03,2023-08-04
154,Concert,Louvre,2023-10-05,2023-10-08
155,Conférence,Batignolles-Monceau,2023-03-31,2023-04-04
156,Salon,Luxembourg,2023-12-05,2023-12-06
157,Festival,Gobelins,2023-11-09,2023-11-12
158,Compétition Sportive,Passy,2023-07-26,2023-07-28
159,Conférence,Hôtel-de-Ville,2023-06-14,2023-06-17
160,Compétition Sportive,Temple,2023-02-10,2023-02-11
161,Salon,Palais-Bourbon,2023-08-01,2023-08-02
162,Conférence,Louvre,2023-04-25,2023-04-26
163,Concert,Élysée,2023-05-15,2023-05-19
164,Salon,Vaugirard,2023-12-11,2023-12-12
165,Compétition Sportive,Bourse,2023-02-02,2023-02-06
166,Conférence,Popincourt,2023-01-03,2023-01-07
167,Conférence,Élysée,2023-02-08,2023-02-12
168,Festival,Buttes-Montmartre,2023-12-18,2023-12-19
169,Festival,Temple,2023-08-21,2023-08-25
170,Festival,Élysée,2023-06-17,2023-06-18
171,Concert,Passy,2023-10-06,2023-10-07
172,Conférence,Observatoire,2023-08-12,2023-08-15
173,Conférence,Bourse,2023-10-29,2023-11-01
174,Compétition Sportive,Observatoire,2023-01-06,2023-01-10
175,Concert,Passy,2023-11-23,2023-11-26
176,Festival,Gobelins,2023-11-08,2023-11-10
177,Conférence,Temple,2023-10-04,2023-10-05
178,Festival,Gobelins,2023-04-07,2023-04-10
179,Salon,Louvre,2023-03-21,2023-03-23
180,Concert,Élysée,2023-10-09,2023-10-11
181,Festival,Temple,2023-09-12,2023-09-16
182,Concert,Palais-Bourbon,2023-06-02,2023-06-03
183,Conférence,Buttes-Chaumont,2023-12-01,2023-12-03
184,Salon,Vaugirard,2023-08-02,2023-08-05
185,Compétition Sportive,Batignolles-Monceau,2023-04-17,2023-04-18
186,Salon,Reuilly,2023-04-11,2023-04-14
187,Concert,Vaugirard,2023-04-23,2023-04-26
188,Salon,Batignolles-Monceau,2023-07-11,2023-07-13
189,Conférence,Temple,2023-06-30,2023-07-04
190,Concert,Buttes-Chaumont,2023-02-19,2023-02-20
191,Concert,Observatoire,2023-01-29,2023-02-02
192,Conférence,Popincourt,2023-12-23,2023-12-25
193,Festival,Bourse,2023-04-14,2023-04-18
194,Compétition Sportive,Ménilmontant,2023-04-05,2023-04-07
195,Salon,Temple,2023-02-27,2023-03-02
196,Compétition Sportive,Entrepôt,2023-05-22,2023-05-25
197,Compétition Sportive,Palais-Bourbon,2023-05-05,2023-05-07
198,Conférence,Popincourt,2023-03-04,2023-03-07
199,Festival,Palais-Bourbon,2023-09-14,2023-09-16
200,Compétition Sportive,Popincourt,2023-07-23,2023-07-24
201,Concert,Louvre,2023-11-16,2023-11-19
202,Festival,Vaugirard,2023-05-19,2023-05-22
203,Conférence,Palais-Bourbon,2023-06-24,2023-06-26
204,Compétition Sportive,Louvre,2023-09-22,2023-09-24
205,Conférence,Buttes-Chaumont,2023-04-07,2023-04-10
206,Salon,Panthéon,2023-07-01,2023-07-02
207,Conférence,Opéra,2023-04-28,2023-05-01
208,Concert,Reuilly,2023-08-14,2023-08-16
209,Conférence,Temple,2023-05-09,2023-05-10
210,Festival,Palais-Bourbon,2023-01-10,2023-01-11
211,Salon,Popincourt,2023-05-21,2023-05-22
212,Concert,Opéra,2023-06-06,2023-06-10
213,Salon,Gobelins,2023-04-21,2023-04-25
214,Concert,Hôtel-de-Ville,2023-09-18,2023-09-20
215,Salon,Élysée,2023-02-22,2023-02-25
216,Compétition Sportive,Observatoire,2023-04-01,2023-04-04
217,Conférence,Hôtel-de-Ville,2023-09-07,2023-09-11
218,Festival,Reuilly,2023-06-16,2023-06-17
219,Festival,Passy,2023-09-06,2023-09-10
220,Compétition Sportive,Luxembourg,2023-08-16,2023-08-19
221,Salon,Observatoire,2023-08-07,2023-08-09
222,Conférence,Entrepôt,2023-08-23,2023-08-26
223,Compétition Sportive,Palais-Bourbon,2023-04-13,2023-04-17
224,Salon,Buttes-Chaumont,2023-02-15,2023-02-17
225,Conférence,Vaugirard,2023-03-30,2023-03-31
226,Salon,Panthéon,2023-10-22,2023-10-23
227,Festival,Élysée,2023-12-10,2023-12-12
228,Conférence,Batignolles-Monceau,2023-02-11,2023-02-12
229,Festival,Temple,2023-06-25,2023-06-28
230,Festival,Ménilmontant,2023-01-31,2023-02-03
231,Conférence,Reuilly,2023-03-12,2023-03-15
232,Compétition Sportive,Popincourt,2023-03-16,2023-03-18
233,Salon,Panthéon,2023-10-08,2023-10-12
234,Conférence,Hôtel-de-Ville,2023-08-05,2023-08-08
235,Festival,Opéra,2023-01-28,2023-01-29
236,Salon,Panthéon,2023-01-02,2023-01-05
237,Conférence,Batignolles-Monceau,2023-01-26,2023-01-29
238,Compétition Sportive,Élysée,2023-11-24,2023-11-26
239,Conférence,Gobelins,2023-06-20,2023-06-21
240,Conférence,Observatoire,2023-01-21,2023-01-24
241,Concert,Vaugirard,2023-11-02,2023-11-03
242,Salon,Élysée,2023-09-30,2023-10-02
243,Conférence,Luxembourg,2023-10-13,2023-10-17
244,Festival,Reuilly,2023-08-31,2023-09-02
245,Festival,Batignolles-Monceau,2023-10-26,2023-10-29
246,Concert,Panthéon,2023-02-07,2023-02-10
247,Festival,Ménilmontant,2023-05-05,2023-05-06
248,Conférence,Gobelins,2023-11-11,2023-11-14
249,Salon,Bourse,2023-02-28,2023-03-02
250,Concert,Luxembourg,2023-02-13,2023-02-15
251,Concert,Bourse,2023-11-28,2023-11-30
252,Compétition Sportive,Popincourt,2023-01-31,2023-02-02
253,Compétition Sportive,Bourse,2023-08-24,2023-08-26
254,Salon,Ménilmontant,2023-06-14,2023-06-17
255,Salon,Louvre,2023-12-24,2023-12-25
256,Concert,Panthéon,2023-10-30,2023-11-02
257,Conférence,Panthéon,2023-09-08,2023-09-11
258,Conférence,Hôtel-de-Ville,2023-07-18,2023-07-19
259,Compétition Sportive,Entrepôt,2023-08-07,2023-08-11
260,Salon,Gobelins,2023-06-03,2023-06-06
261,Salon,Palais-Bourbon,2023-07-03,2023-07-04
262,Conférence,Vaugirard,2023-10-26,2023-10-28
263,Compétition Sportive,Panthéon,2023-05-30,2023-06-01
264,Conférence,Buttes-Chaumont,2023-03-06,2023-03-08
265,Conférence,Passy,2023-06-11,2023-06-13
266,Concert,Buttes-Chaumont,2023-02-19,2023-02-21
267,Salon,Reuilly,2023-06-09,2023-06-10
268,Concert,Panthéon,2023-11-05,2023-11-08
269,Concert,Passy,2023-02-20,2023-02-21
270,Conférence,Luxembourg,2023-10-03,2023-10-07
271,Compétition Sportive,Ménilmontant,2023-12-14,2023-12-15
272,Conférence,Buttes-Chaumont,2023-02-14,2023-02-15
273,Compétition Sportive,Hôtel-de-Ville,2023-04-25,2023-04-26
274,Salon,Bourse,2023-12-14,2023-12-15
275,Festival,Ménilmontant,2023-05-16,2023-05-20
276,Salon,Temple,2023-01-21,2023-01-23
277,Conférence,Passy,2023-01-18,2023-01-22
278,Compétition Sportive,Reuilly,2023-12-28,2023-12-31
279,Festival,Buttes-Chaumont,2023-09-28,2023-09-30
280,Compétition Sportive,Ménilmontant,2023-08-07,2023-08-08
281,Compétition Sportive,Panthéon,2023-11-15,2023-11-18
282,Festival,Panthéon,2023-05-01,2023-05-02
283,Festival,Luxembourg,2023-03-03,2023-03-07
284,Salon,Élysée,2023-04-07,2023-04-09
285,Concert,Batignolles-Monceau,2023-09-08,2023-09-12
286,Festival,Observatoire,2023-05-09,2023-05-11
287,Concert,Batignolles-Monceau,2023-09-03,2023-09-04
288,Concert,Panthéon,2023-01-10,2023-01-13
289,Concert,Reuilly,2023-11-01,2023-11-02
290,Concert,Batignolles-Monceau,2023-03-06,2023-03-09
291,Festival,Gobelins,2023-09-04,2023-09-08
292,Compétition Sportive,Temple,2023-12-15,2023-12-19
293,Festival,Panthéon,2023-06-14,2023-06-18
294,Festival,Temple,2023-06-28,2023-06-29
295,Conférence,Temple,2023-02-23,2023-02-26
296,Conférence,Temple,2023-11-15,2023-11-16
297,Salon,Entrepôt,2023-02-15,2023-02-19
298,Concert,Reuilly,2023-06-27,2023-06-29
299,Concert,Louvre,2023-01-07,2023-01-08
300,Conférence,Luxembourg,2023-03-25,2023-03-28
301,Compétition Sportive,Gobelins,2023-05-08,2023-05-11
302,Salon,Ménilmontant,2023-08-02,2023-08-06
303,Compétition Sportive,Buttes-Montmartre,2023-08-22,2023-08-26
304,Conférence,Palais-Bourbon,2023-01-12,2023-01-14
305,Compétition Sportive,Hôtel-de-Ville,2023-03-15,2023-03-18
306,Concert,Panthéon,2023-02-07,2023-02-10
307,Conférence,Élysée,2023-12-17,2023-12-21
308,Compétition Sportive,Panthéon,2023-05-29,2023-06-01
309,Salon,Batignolles-Monceau,2023-06-21,2023-06-23
310,Salon,Élysée,2023-08-02,2023-08-03
311,Festival,Bourse,2023-08-25,2023-08-27
312,Conférence,Popincourt,2023-01-21,2023-01-23
313,Conférence,Vaugirard,2023-12-27,2023-12-28
314,Conférence,Élysée,2023-12-14,2023-12-17
315,Concert,Luxembourg,2023-08-19,2023-08-20
316,Concert,Buttes-Montmartre,2023-07-27,2023-07-29
317,Conférence,Louvre,2023-07-30,2023-07-31
318,Compétition Sportive,Panthéon,2023-06-01,2023-06-03
319,Concert,Batignolles-Monceau,2023-09-06,2023-09-07
320,Conférence,Luxembourg,2023-04-17,2023-04-19
321,Concert,Passy,2023-06-08,2023-06-12
322,Festival,Temple,2023-01-05,2023-01-08
323,Salon,Temple,2023-07-12,2023-07-13
324,Festival,Entrepôt,2023-06-14,2023-06-15
325,Conférence,Panthéon,2023-04-04,2023-04-05
326,Salon,Louvre,2023-10-15,2023-10-19
327,Compétition Sportive,Buttes-Chaumont,2023-07-13,2023-07-16
328,Conférence,Luxembourg,2023-10-17,2023-10-18
329,Compétition Sportive,Opéra,2023-08-24,2023-08-25
330,Compétition Sportive,Observatoire,2023-01-29,2023-02-02
331,Concert,Popincourt,2023-04-28,2023-04-29
332,Concert,Ménilmontant,2023-05-13,2023-05-17
333,Salon,Opéra,2023-06-07,2023-06-09
334,Salon,Luxembourg,2023-04-17,2023-04-21
335,Concert,Louvre,2023-06-22,2023-06-24
336,Salon,Entrepôt,2023-05-26,2023-05-30
337,Festival,Vaugirard,2023-11-30,2023-12-01
338,Conférence,Opéra,2023-09-24,2023-09-27
339,Festival,Opéra,2023-09-17,2023-09-19
340,Conférence,Luxembourg,2023-02-15,2023-02-18
341,Concert,Buttes-Chaumont,2023-11-05,2023-11-08
342,Festival,Luxembourg,2023-06-01,2023-06-04
343,Compétition Sportive,Bourse,2023-12-20,2023-12-24
344,Festival,Bourse,2023-05-16,2023-05-17
345,Salon,Élysée,2023-08-04,2023-08-07
346,Festival,Élysée,2023-05-14,2023-05-17
347,Concert,Hôtel-de-Ville,2023-12-07,2023-12-10
348,Concert,Opéra,2023-08-12,2023-08-13
349,Salon,Luxembourg,2023-08-19,2023-08-21
350,Conférence,Louvre,2023-12-08,2023-12-10
351,Salon,Opéra,2023-07-20,2023-07-23
352,Conférence,Gobelins,2023-01-18,2023-01-20
353,Concert,Popincourt,2023-07-23,2023-07-27
354,Concert,Passy,2023-05-14,2023-05-18
355,Conférence,Opéra,2023-12-13,2023-12-14
356,Festival,Élysée,2023-04-18,2023-04-22
357,Festival,Opéra,2023-01-01,2023-01-02
358,Salon,Panthéon,2023-01-15,2023-01-16
359,Concert,Ménilmontant,2023-05-22,2023-05-24
360,Festival,Buttes-Chaumont,2023-03-18,2023-03-21
361,Concert,Hôtel-de-Ville,2023-12-07,2023-12-10
362,Salon,Luxembourg,2023-06-23,2023-06-26
363,Compétition Sportive,Gobelins,2023-04-21,2023-04-23
364,Concert,Louvre,2023-04-27,2023-04-30
365,Compétition Sportive,Panthéon,2023-02-10,2023-02-12
366,Concert,Panthéon,2023-01-06,2023-01-08
367,Conférence,Louvre,2023-10-03,2023-10-07
368,Compétition Sportive,Panthéon,2023-03-09,2023-03-12
369,Conférence,Entrepôt,2023-10-23,2023-10-24
370,Conférence,Vaugirard,2023-04-14,2023-04-17
371,Salon,Batignolles-Monceau,2023-05-07,2023-05-11
372,Salon,Louvre,2023-03-15,2023-03-19
373,Festival,Bourse,2023-05-05,2023-05-09
374,Compétition Sportive,Passy,2023-11-21,2023-11-22
375,Festival,Élysée,2023-09-15,2023-09-19
376,Compétition Sportive,Louvre,2023-12-17,2023-12-21
377,Salon,Louvre,2023-10-27,2023-10-28
378,Salon,Bourse,2023-11-05,2023-11-06
379,Salon,Hôtel-de-Ville,2023-07-31,2023-08-02
380,Compétition Sportive,Élysée,2023-09-06,2023-09-08
381,Salon,Vaugirard,2023-01-06,2023-01-07
382,Festival,Luxembourg,2023-02-12,2023-02-13
383,Conférence,Buttes-Montmartre,2023-09-10,2023-09-14
384,Compétition Sportive,Vaugirard,2023-05-26,2023-05-27
385,Conférence,Buttes-Montmartre,2023-10-13,2023-10-16
386,Festival,Louvre,2023-07-18,2023-07-19
387,Concert,Temple,2023-04-27,2023-04-29
388,Salon,Observatoire,2023-06-30,2023-07-04
389,Festival,Buttes-Chaumont,2023-07-11,2023-07-12
390,Concert,Hôtel-de-Ville,2023-05-11,2023-05-15
391,Compétition Sportive,Luxembourg,2023-09-12,2023-09-16
392,Festival,Luxembourg,2023-06-13,2023-06-17
393,Compétition Sportive,Panthéon,2023-11-30,2023-12-04
394,Conférence,Ménilmontant,2023-05-31,2023-06-03
395,Conférence,Reuilly,2023-09-06,2023-09-09
396,Compétition Sportive,Ménilmontant,2023-06-27,2023-06-28
397,Conférence,Buttes-Montmartre,2023-04-24,2023-04-25
398,Conférence,Buttes-Chaumont,2023-01-16,2023-01-19
399,Salon,Élysée,2023-04-02,2023-04-06
400,Compétition Sportive,Panthéon,2023-06-07,2023-06-11
401,Compétition Sportive,Observatoire,2023-11-12,2023-11-16
402,Concert,Vaugirard,2023-12-27,2023-12-28
403,Salon,Popincourt,2023-07-08,2023-07-11
404,Festival,Passy,2023-08-30,2023-09-02
405,Salon,Panthéon,2023-08-18,2023-08-20
406,Festival,Palais-Bourbon,2023-08-26,2023-08-27
407,Compétition Sportive,Gobelins,2023-09-19,2023-09-23
408,Salon,Batignolles-Monceau,2023-10-22,2023-10-24
409,Concert,Observatoire,2023-01-05,2023-01-07
410,Conférence,Élysée,2023-09-16,2023-09-20
411,Festival,Gobelins,2023-03-15,2023-03-16
412,Conférence,Temple,2023-01-30,2023-02-03
413,Compétition Sportive,Gobelins,2023-12-02,2023-12-04
414,Compétition Sportive,Passy,2023-09-24,2023-09-28
415,Compétition Sportive,Bourse,2023-05-11,2023-05-13
416,Conférence,Opéra,2023-01-15,2023-01-19
417,Compétition Sportive,Buttes-Montmartre,2023-02-23,2023-02-25
418,Compétition Sportive,Buttes-Montmartre,2023-05-09,2023-05-13
419,Conférence,Hôtel-de-Ville,2023-01-13,2023-01-16
420,Compétition Sportive,Hôtel-de-Ville,2023-03-04,2023-03-06
421,Festival,Panthéon,2023-11-08,2023-11-11
422,Salon,Panthéon,2023-10-22,2023-10-23
423,Festival,Louvre,2023-12-24,2023-12-27
424,Compétition Sportive,Ménilmontant,2023-03-08,2023-03-09
425,Compétition Sportive,Reuilly,2023-04-18,2023-04-22
426,Compétition Sportive,Passy,2023-03-31,2023-04-01
427,Compétition Sportive,Louvre,2023-03-17,2023-03-19
428,Conférence,Buttes-Chaumont,2023-04-28,2023-04-29
429,Salon,Bourse,2023-03-27,2023-03-30
430,Conférence,Reuilly,2023-10-05,2023-10-08
431,Conférence,Élysée,2023-06-15,2023-06-17
432,Compétition Sportive,Ménilmontant,2023-01-12,2023-01-14
433,Festival,Élysée,2023-11-02,2023-11-04
434,Festival,Gobelins,2023-09-30,2023-10-01
435,Concert,Passy,2023-08-20,2023-08-21
436,Salon,Passy,2023-06-09,2023-06-10
437,Concert,Entrepôt,2023-06-22,2023-06-23
438,Conférence,Gobelins,2023-07-14,2023-07-16
439,Concert,Popincourt,2023-10-08,2023-10-09
440,Concert,Reuilly,2023-03-24,2023-03-27
441,Concert,Bourse,2023-12-23,2023-12-26
442,Salon,Buttes-Chaumont,2023-04-24,2023-04-26
443,Festival,Opéra,2023-04-12,2023-04-14
444,Festival,Reuilly,2023-04-15,2023-04-18
445,Concert,Vaugirard,2023-11-01,2023-11-05
446,Salon,Élysée,2023-02-12,2023-02-16
447,Festival,Observatoire,2023-08-27,2023-08-28
448,Compétition Sportive,Opéra,2023-10-02,2023-10-06
449,Festival,Panthéon,2023-12-02,2023-12-03
450,Festival,Louvre,2023-10-09,2023-10-11
451,Salon,Opéra,2023-04-07,2023-04-09
452,Salon,Gobelins,2023-01-15,2023-01-18
453,Festival,Luxembourg,2023-11-05,2023-11-08
454,Compétition Sportive,Observatoire,2023-08-17,2023-08-19
455,Compétition Sportive,Luxembourg,2023-01-20,2023-01-21
456,Concert,Temple,2023-05-13,2023-05-16
457,Concert,Popincourt,2023-11-16,2023-11-20
458,Festival,Popincourt,2023-10-07,2023-10-11
459,Festival,Louvre,2023-11-22,2023-11-23
460,Festival,Opéra,2023-05-08,2023-05-09
461,Compétition Sportive,Louvre,2023-09-17,2023-09-19
462,Conférence,Gobelins,2023-04-22,2023-04-26
463,Concert,Passy,2023-06-20,2023-06-21
464,Concert,Gobelins,2023-06-29,2023-07-01
465,Conférence,Ménilmontant,2023-07-16,2023-07-18
466,Festival,Hôtel-de-Ville,2023-09-15,2023-09-19
467,Concert,Luxembourg,2023-12-30,2024-01-03
468,Compétition Sportive,Bourse,2023-05-14,2023-05-18
469,Conférence,Passy,2023-04-03,2023-04-04
470,Compétition Sportive,Palais-Bourbon,2023-05-31,2023-06-03
471,Festival,Batignolles-Monceau,2023-11-26,2023-11-27
472,Concert,Luxembourg,2023-12-11,2023-12-13
473,Compétition Sportive,Buttes-Montmartre,2023-06-13,2023-06-14
474,Conférence,Gobelins,2023-01-10,2023-01-13
475,Festival,Panthéon,2023-02-19,2023-02-20
476,Concert,Gobelins,2023-10-04,2023-10-08
477,Concert,Observatoire,2023-03-27,2023-03-28
478,Festival,Buttes-Montmartre,2023-02-15,2023-02-19
479,Festival,Hôtel-de-Ville,2023-01-01,2023-01-05
480,Festival,Bourse,2023-12-11,2023-12-13
481,Compétition Sportive,Batignolles-Monceau,2023-09-05,2023-09-06
482,Salon,Temple,2023-02-22,2023-02-23
483,Concert,Opéra,2023-04-23,2023-04-24
484,Compétition Sportive,Observatoire,2023-08-27,2023-08-30
485,Conférence,Élysée,2023-01-14,2023-01-15
486,Concert,Opéra,2023-10-22,2023-10-23
487,Salon,Bourse,2023-05-06,2023-05-07
488,Conférence,Hôtel-de-Ville,2023-10-25,2023-10-28
489,Concert,Bourse,2023-10-08,2023-10-09
490,Salon,Vaugirard,2023-09-10,2023-09-14
491,Festival,Temple,2023-10-15,2023-10-19
492,Salon,Opéra,2023-01-11,2023-01-12
493,Concert,Observatoire,2023-06-05,2023-06-09
494,Salon,Hôtel-de-Ville,2023-09-13,2023-09-14
